time,icao24,lat,lon,baroaltitude,velocity,heading,vertrate,onground
1773651600,a1b2c3,40.6100,-3.7900,2800,92,130,-4.0,false
1773651610,a1b2c3,40.6060,-3.7825,2760,92,130,-4.0,false
1773651620,a1b2c3,40.6020,-3.7750,2720,91,130,-4.0,false
1773651630,a1b2c3,40.5980,-3.7675,2680,91,130,-4.0,false
1773651640,a1b2c3,40.5940,-3.7600,2640,90,130,-4.0,false
1773651650,a1b2c3,40.5900,-3.7525,2600,90,130,-4.0,false
1773651660,a1b2c3,40.5860,-3.7450,2550,89,130,-5.0,false
1773651670,a1b2c3,40.5820,-3.7375,2500,89,130,-5.0,false
1773651680,a1b2c3,40.5780,-3.7300,2450,88,130,-5.0,false
1773651690,a1b2c3,40.5740,-3.7225,2400,88,130,-5.0,false
1773651700,a1b2c3,40.5700,-3.7150,2350,87,130,-5.0,false
1773651710,a1b2c3,40.5660,-3.7075,2300,87,130,-5.0,false
1773651720,a1b2c3,40.5620,-3.7000,2250,86,130,-5.0,false
1773651730,a1b2c3,40.5580,-3.6925,2200,86,130,-5.0,false
1773651740,a1b2c3,40.5540,-3.6850,2150,85,130,-5.0,false
1773651750,a1b2c3,40.5500,-3.6775,2100,85,130,-5.0,false
1773651760,a1b2c3,40.5460,-3.6700,2050,84,130,-5.0,false
1773651770,a1b2c3,40.5420,-3.6625,2000,84,130,-5.0,false
1773651780,a1b2c3,40.5380,-3.6550,1950,83,130,-5.0,false
1773651790,a1b2c3,40.5340,-3.6475,1900,83,130,-5.0,false
1773651800,a1b2c3,40.5300,-3.6400,1850,82,130,-5.0,false
1773651810,a1b2c3,40.5260,-3.6325,1800,82,130,-5.0,false
1773651820,a1b2c3,40.5220,-3.6250,1750,81,130,-5.0,false
1773651830,a1b2c3,40.5180,-3.6175,1700,81,130,-5.0,false
1773651840,a1b2c3,40.5140,-3.6100,1650,80,130,-5.0,false
1773651850,a1b2c3,40.5100,-3.6025,1600,80,130,-5.0,false
1773651860,a1b2c3,40.5060,-3.5950,1550,79,130,-5.0,false
1773651870,a1b2c3,40.5020,-3.5875,1500,79,130,-5.0,false
1773651880,a1b2c3,40.4980,-3.5800,1450,78,130,-5.0,false
1773651890,a1b2c3,40.4940,-3.5725,1400,78,130,-5.0,false
1773651900,a1b2c3,40.4900,-3.5650,1350,77,130,-5.0,false
